time,x,xd,theta,thetad,u_cmd,u_sat,u_applied,sat
1.5099999999999445,-0.04723022357256446,0.48127751922227624,0.8436459712494333,3.3651508091048123,-10.219580484016273,-2.5,2.5,1
1.5199999999999434,-0.038667206276060274,1.226760559849143,0.8675989609774178,1.4516684083539426,-9.1648138742332,-2.5,2.5,1
1.5299999999999423,-0.022763199425830122,1.9517091375196445,0.8730400847791244,-0.3530934551930309,-8.128551165181165,-2.5,2.5,1
1.5399999999999412,0.000340473208729499,2.6686883827834684,0.860599501112989,-2.1390055549290525,-7.029969288107021,-2.5,2.5,1
1.54999999999994,0.0306238659781315,3.389693026640979,0.8300370465568877,-3.992003083338227,-5.790819473639271,-2.5,2.5,1
1.559999999999939,0.06819102854718971,4.127794835897563,0.7802303303441015,-6.004286225534695,-4.326291994517264,-2.5,2.5,1
1.569999999999938,0.11328865276146145,4.898694550218099,0.7090607278020015,-8.284638101451323,-2.535486140024072,-2.5,2.5,1
1.5799999999999368,0.16426113889278188,5.23764222373315,0.6206738970217001,-9.201036391394284,-0.7706138642184666,-0.7706138642184666,0.7706138642184666,0
1.5899999999999357,0.216876066182677,5.2626751908160845,0.5291470318248765,-9.023540794154494,-0.10533758173619301,-0.10533758173619301,0.10533758173619301,0
1.5999999999999346,0.2691479887992461,5.186000646815348,0.44155639880147607,-8.475022386157555,0.03907180721238612,0.03907180721238612,-0.03907180721238612,0
1.6099999999999335,0.32054434295886675,5.092879769214847,0.3597881478422843,-7.880650753279824,0.024328480699340016,0.024328480699340016,-0.024328480699340016,0
1.6199999999999324,0.37102674865366136,5.0040648352632155,0.2837744950505458,-7.328163593218312,-0.009423000857378128,-0.009423000857378128,0.009423000857378128,0
1.6299999999999313,0.4206480500930583,4.920578948627878,0.21304207616916931,-6.824323471918161,-0.03219356240039395,-0.03219356240039395,0.03219356240039395,0
1.6399999999999302,0.4694522098151594,4.8405117417640895,0.14713867764825467,-6.361907766007035,-0.04367705675426281,-0.04367705675426281,0.04367705675426281,0
1.649999999999929,0.5174654616966008,4.762321999570097,0.0856835907895523,-5.934321412893312,-0.047019318281583455,-0.047019318281583455,0.047019318281583455,0
1.659999999999928,0.5647012469596543,4.6849748583658695,0.028353453813892468,-5.5366553618235415,-0.04461873363671576,-0.04461873363671576,0.04461873363671576,0
1.6699999999999269,0.6111643998217493,4.607768680686311,-0.025132069903236937,-5.165169901507754,-0.038128606162740275,-0.038128606162740275,0.038128606162740275,0
1.6799999999999258,0.6568538615672859,4.530218647719258,-0.07501995692753147,-4.81691160204852,-0.028726468504544578,-0.028726468504544578,0.028726468504544578,0
1.6899999999999247,0.7017644866224064,4.451988261905694,-0.12153047676866956,-4.489483844114945,-0.017279066324383252,-0.017279066324383252,0.017279066324383252,0
1.6999999999999236,0.7458883045003907,4.3728471064247945,-0.16486200640612483,-4.180902183218461,-0.004439389205937838,-0.004439389205937838,0.004439389205937838,0
1.7099999999999225,0.789215438376028,4.29264344270111,-0.20519465449757318,-3.889497671781389,0.00929240676988452,0.00929240676988452,-0.00929240676988452,0
1.7199999999999214,0.8317347966337111,4.211285696268593,-0.24269307257307135,-3.613849251551937,0.023528557155678587,0.023528557155678587,-0.023528557155678587,0
1.7299999999999203,0.873434608509043,4.128729512564552,-0.2775086877076106,-3.352734790651043,0.037965726367110264,0.037965726367110264,-0.037965726367110264,0
1.7399999999999192,0.9143028490801154,4.04496842092719,-0.30978151010856664,-3.1050946093716894,0.0523650896450325,0.0523650896450325,-0.0523650896450325,0
1.749999999999918,0.9543275832683968,3.9600268930562756,-0.3396416201064434,-2.870003660188365,0.0665378350532766,0.0665378350532766,-0.0665378350532766,0
1.759999999999917,0.9934972487025131,3.873955017299203,-0.3672104079648931,-2.6466498676156527,0.08033444602839368,0.08033444602839368,-0.08033444602839368,0
1.7699999999999159,1.0318008909229721,3.786824274747777,-0.39260161937594007,-2.4343169463705396,0.09363669281819575,0.09363669281819575,-0.09363669281819575,0
1.7799999999999148,1.0692283601525951,3.6987240704545985,-0.41592224544747036,-2.232370530333201,0.10635160423292733,0.10635160423292733,-0.10635160423292733,0
1.7899999999999137,1.1057704759670879,3.609758782703993,-0.4372732861021637,-2.040246782036373,0.11840690698917333,0.11840690698917333,-0.11840690698917333,0
1.7999999999999126,1.1414191642166287,3.520045167534737,-0.4567504086983437,-1.857442881090804,0.1297475607182541,0.1297475607182541,-0.1297475607182541,0
1.8099999999999115,1.176167569189361,3.429710007623704,-0.4744445184882977,-1.6835089498041131,0.14033311169783946,0.14033311169783946,-0.14033311169783946,0
1.8199999999999104,1.2100101430898123,3.338887931973588,-0.49044225369281996,-1.5180410891755454,0.15013565463774992,0.15013565463774992,-0.15013565463774992,0
1.8299999999999093,1.2429427143092278,3.2477193603274532,-0.5048264151244272,-1.360675283216792,0.15913823973686947,0.15913823973686947,-0.15913823973686947,0
1.8399999999999082,1.2749625356076628,3.156348546758382,-0.5176763381853993,-1.2110819934686896,0.16733359813867787,0.16733359813867787,-0.16733359813867787,0
1.849999999999907,1.306068313149487,3.064921712245079,-0.5290682135242406,-1.0689613146058228,0.1747230868960945,0.1747230868960945,-0.1747230868960945,0
1.859999999999906,1.3362602172889708,2.973585267357668,-0.5390753615268682,-0.9340385999832179,0.18131577717788439,0.18131577717788439,-0.18131577717788439,0
1.8699999999999048,1.3655398760540571,2.8824841341493634,-0.5477684650492239,-0.8060604953708166,0.18712762831169316,0.18712762831169316,-0.18712762831169316,0
