time,x,xd,theta,thetad,thetad_f,theta_ref,x_int,theta_int,u_cmd,u_f,u_sat,u_applied,sat
1.4099999999999555,-0.019898750836303387,0.49553229126304177,0.4026533467098546,-0.026403711480328298,0.691612099969018,-0.35,-0.00020692366831579265,0.0003236284934185271,-72.2862066672355,-31.341808604926833,-2.5,2.5,1
1.4199999999999544,-0.01015124583370234,1.4539851738616458,0.3829441073789326,-3.9206240923461926,-0.7650085424747965,-0.35,-0.00035721789153237256,0.0003236284934185271,-53.131473614781356,-50.15599631195983,-2.5,2.5,1
1.4299999999999533,0.00923580075521966,2.428583691451947,0.3237737822719735,-7.953397447394181,-3.41267467697696,-0.35,-0.0003582598228173614,0.0003236284934185271,-16.330002366663877,-38.46658648433818,-2.5,2.5,1
1.4399999999999522,0.03855469761829039,3.442455773887804,0.2228348305436534,-12.29316662848274,-6.802831507540733,-0.35,-0.0001130130597244392,0.0003236284934185271,32.93169049700861,-6.4016633664605465,-2.5,2.5,1
1.449999999999951,0.07136796334997245,2.7606489867960606,0.10787997327395224,-9.071759522359946,-8.83994068571551,-0.35,0.0004603118149628455,0.00031090764232997797,67.14855405056997,33.59387373571995,2.5,-2.5,1
1.45999999999995,0.0932236188909082,1.611872469104577,0.04385555508765707,-3.742722172937774,-7.4201513879841485,-0.35,0.0013036798135227885,0.0002957074082592709,55.55369270522921,51.3734446179524,2.5,-2.5,1
1.469999999999949,0.10366987279265623,0.48137112636791995,0.03265645312459017,1.4815445882305407,-4.168806294491133,-0.35,0.0023026974616723716,0.00028125031164917037,17.489983791260485,40.189692456587046,2.5,-2.5,1
1.4799999999999478,0.1029362166502067,-0.6232326350381527,0.07305740714969708,6.5751429063475815,-0.01621321314663038,0.35,0.0033260072388384266,-0.0007999488965395549,23.762677161414192,30.69947950606862,2.5,-2.5,1
1.4899999999999467,0.09134260707289538,-1.6852445222622057,0.16349196917256284,11.460851228956214,4.530556954912243,0.35,0.004261820275068054,-0.0031123316159010752,-38.40456923205823,2.7841691735113088,2.5,-2.5,1
1.4999999999999456,0.0777343498986871,-0.8251827906078808,0.2638162839323943,7.6724604992841705,6.935370911616036,0.35,0.00504914191169592,-0.004213097814071291,-75.75063565305047,-39.733073091190036,-2.5,2.5,1
1.5099999999999445,0.0747563411737776,0.21884395124895767,0.31777564150671145,3.185267171760397,5.984629463846886,-0.35,0.005764138364683025,-0.004200442511944164,-128.42946760631506,-75.6918553931812,-2.5,2.5,1
1.5199999999999434,0.08195316878979216,1.2156578718422222,0.3284550712188756,-1.0227846574977806,3.4410882683518613,-0.35,0.006543065766889448,-0.004200442511944164,-98.81472478590871,-97.44672371635562,-2.5,2.5,1
1.5299999999999423,0.09903245910894527,2.2011729678510945,0.2974575013015558,-5.18851028446253,0.12681347441583546,-0.35,0.007448407421777977,-0.004200442511944164,-56.40863381570422,-82.41579268793248,-2.5,2.5,1
1.5399999999999412,0.1260411564616911,3.2053862701776965,0.22413748512345563,-9.51490075363947,-3.6322104581891406,-0.35,0.008578996673065928,-0.004200442511944164,-5.068145249305992,-47.02823351207191,-2.5,2.5,1
1.54999999999994,0.1632345235903025,4.236128742331773,0.10631656252258778,-14.084276114923796,-7.7318148205050665,-0.35,0.01003546230265515,-0.004200442511944164,54.14188551955889,1.2202604549389786,1.2202604549389786,-1.2202604549389786,0
1.559999999999939,0.200269027532413,3.1181329648440776,-0.009715173207164167,-8.887242691341108,-9.311858673972532,-0.35,0.011881070427944123,-0.003310541963343569,82.93454503512058,47.61668613454363,2.5,-2.5,1
1.569999999999938,0.22563202749262254,1.9601746925555583,-0.07177701783969379,-3.5609771786454942,-7.574819373799212,-0.35,0.014032811863485418,-0.00021526517642462496,67.2564511438488,64.78276033882717,2.5,-2.5,1
1.5799999999999368,0.23958478917949003,0.8349754297239008,-0.08159401377157882,1.5726223793301897,-4.18872364146158,-0.35,0.016375152858244493,0.0024081058448046956,27.365467627351137,51.75887167678226,2.5,-2.5,1
1.5899999999999357,0.2423967741669154,-0.27023718459941093,-0.040629018043779025,6.612515638683941,-0.0023272848773076005,0.24490398248679834,0.018758253816053252,0.004008113578692154,24.157948488372547,24.759321369206706,2.5,-2.5,1
1.5999999999999346,0.23423871995475873,-1.3562608095582727,0.050475084724256845,11.589080226565823,4.574459597617601,0.35,0.020946410731414743,0.0024019828070439247,-29.51796677121958,6.076827247276013,2.5,-2.5,1
1.6099999999999335,0.22229945584602118,-0.6788006683445467,0.1590024312044658,8.514228627541225,7.3720530380804625,0.35,0.023036978294725174,6.870250862283595e-06,-72.2300847764609,-35.12322435617057,-2.5,2.5,1
1.6199999999999324,0.22096334740198104,0.4019389647396559,0.21976183210508562,3.697618097560481,6.5208040482652,-0.35,0.02514949060985297,-0.0003266157138615832,-126.66797275812952,-81.8121733270798,-2.5,2.5,1
1.6299999999999313,0.23018405630181324,1.436959656183785,0.23387507574069774,-0.8457131372797243,3.8691993316184616,-0.35,0.027401303538179468,-0.0003266157138615832,-96.04834186739569,-98.43222246956195,-2.5,2.5,1
1.6399999999999302,0.24965056400608127,2.4561775048611456,0.2030811371897105,-5.3177601950674305,0.3461076005078342,-0.35,0.029801804946849197,-0.0003266157138615832,-51.15375631723424,-80.18323797912042,-2.5,2.5,1
1.649999999999929,0.27933678545811474,3.4832036249778673,0.1271890641830475,-9.883796925313725,-3.651080032944301,-0.35,0.03245311147319433,-0.0003266157138615832,3.263321489757729,-41.76043278993239,-2.5,2.5,1
